OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036FA,2021-10-01T21:22:06.710016,14.32959828,.0024027,74.0297,230.4481,326.4559,33.5069,0,U,33945,999,66049,.3801E-4,.78E-6,0
COSMOS 2251 DEB,1993-036FD,2021-10-01T15:16:01.489440,14.33358034,.0025081,74.0358,231.7087,320.6128,39.3198,0,U,33948,999,66043,.63617E-4,.15E-5,0
COSMOS 2251 DEB,1993-036FE,2021-10-01T22:08:05.875008,14.35998980,.0020568,74.0278,196.1292,307.1057,124.6661,0,U,33971,999,66114,.86385E-4,.225E-5,0
COSMOS 2251 DEB,1993-036FF,2021-10-01T21:02:47.082048,14.20255041,.0150295,73.9980,88.8290,247.6498,181.2280,0,U,33972,999,65235,.48409E-3,.1132E-4,0
COSMOS 2251 DEB,1993-036FG,2021-10-01T21:20:52.889856,14.43250186,.0048686,74.0074,78.8912,264.8273,213.1624,0,U,33973,999,66473,.45596E-4,.128E-5,0
COSMOS 2251 DEB,1993-036FJ,2021-10-01T15:54:57.964896,13.97086457,.0198718,73.8010,249.9537,283.0334,74.8679,0,U,33975,999,64398,.10825E-3,.152E-5,0
COSMOS 2251 DEB,1993-036FP,2021-10-01T20:59:05.007264,14.47180686,.0035545,74.0260,66.8518,225.6156,252.5084,0,U,33980,999,66554,.20644E-3,.732E-5,0
COSMOS 2251 DEB,1993-036FQ,2021-10-01T21:46:46.851744,14.86741597,.0071976,73.8317,261.3898,292.6564,66.7014,0,U,33981,999,68003,.54931E-3,.5087E-4,0
COSMOS 2251 DEB,1993-036FR,2021-10-01T16:10:24.605760,14.51718111,.0086795,74.0761,15.8812,102.0686,12.1037,0,U,33982,999,66862,.11824E-3,.469E-5,0
COSMOS 2251 DEB,1993-036FS,2021-10-01T22:20:22.148160,14.43198993,.002465,74.0520,124.4406,250.4191,218.2846,0,U,33983,999,66472,.12002E-3,.378E-5,0
COSMOS 2251 DEB,1993-036FT,2021-10-01T17:49:53.445216,14.50790921,.003066,74.0172,20.2278,231.2737,246.3346,0,U,33984,999,66747,.21558E-3,.825E-5,0
COSMOS 2251 DEB,1993-036FV,2021-10-01T16:34:46.688160,14.34453431,.004866,74.0386,245.2071,333.4410,200.9925,0,U,33986,999,65994,.20132E-3,.548E-5,0
COSMOS 2251 DEB,1993-036FY,2021-10-02T00:35:29.361696,14.65871424,.0035343,74.0207,244.3065,72.5679,287.9349,0,U,33989,999,67213,.48901E-3,.2666E-4,0
COSMOS 2251 DEB,1993-036FZ,2021-10-01T21:18:41.339808,13.47097286,.0416673,73.9293,219.4556,164.9045,255.2951,0,U,33990,999,62070,.23401E-3,.222E-5,0
COSMOS 2251 DEB,1993-036GB,2021-10-01T17:24:27.855360,14.51736951,.0068869,74.0304,11.4887,152.2185,324.3561,0,U,33992,999,66796,.19654E-3,.785E-5,0
COSMOS 2251 DEB,1993-036GC,2021-10-01T10:36:53.822304,14.65596766,.0025609,74.0180,286.6432,71.2077,289.1866,0,U,33993,999,67051,.52691E-3,.2845E-4,0
COSMOS 2251 DEB,1993-036GD,2021-10-01T22:11:23.751744,14.39744372,.0024419,74.0436,142.7919,297.1270,75.6596,0,U,33994,999,66351,.29454E-4,.66E-6,0
